"","year","summer_avg","park"
"1","1980",18.4750003814697,"Acadia"
"2","1982",17.8916660944621,"Acadia"
"3","1983",19.1333332061768,"Acadia"
"4","1984",18.2866665522257,"Acadia"
"5","1985",17.7866662343343,"Acadia"
"6","1986",16.3016665776571,"Acadia"
"7","1987",17.1733331680298,"Acadia"
"8","1988",18.25,"Acadia"
"9","1989",17.8283335367839,"Acadia"
"10","1990",18.5833336512248,"Acadia"
"11","1991",18.3933324813843,"Acadia"
"12","1992",17.1316661834717,"Acadia"
"13","1993",18.3883330027262,"Acadia"
"14","1994",18.5983333587646,"Acadia"
"15","1995",18.4700002670288,"Acadia"
"16","1996",17.3783334096273,"Acadia"
"17","1997",18.1349992752075,"Acadia"
"18","1998",18.7616659800212,"Acadia"
"19","1999",19.7633336385091,"Acadia"
"20","2000",17.4549992879232,"Acadia"
"21","2001",18.7816670735677,"Acadia"
"22","2002",19.2816670735677,"Acadia"
"23","2003",19.4350001017253,"Acadia"
"24","2004",17.7750002543132,"Acadia"
"25","2005",19.4183330535889,"Acadia"
"26","2006",18.8199990590413,"Acadia"
"27","2007",18.7083333333333,"Acadia"
"28","2008",18.4333333969116,"Acadia"
"29","2009",17.8333339691162,"Acadia"
"30","2010",19.7666664123535,"Acadia"
"31","2011",19.556666692098,"Acadia"
"32","2012",19.7649993896484,"Acadia"
"33","2013",18.6983331044515,"Acadia"
"34","2014",18.6433334350586,"Acadia"
"35","1980",16.2800003687541,"Voyageurs"
"36","1982",15.8633327484131,"Voyageurs"
"37","1983",18.1733331680298,"Voyageurs"
"38","1984",16.2150001525879,"Voyageurs"
"39","1985",14.8916664123535,"Voyageurs"
"40","1986",15.6750008265177,"Voyageurs"
"41","1987",16.8049993515015,"Voyageurs"
"42","1988",17.0116669336955,"Voyageurs"
"43","1989",17.3316666285197,"Voyageurs"
"44","1990",16.9549999237061,"Voyageurs"
"45","1991",16.7283331553141,"Voyageurs"
"46","1992",14.2733332316081,"Voyageurs"
"47","1993",15.0866670608521,"Voyageurs"
"48","1994",16.2199999491374,"Voyageurs"
"49","1995",16.5283330281576,"Voyageurs"
"50","1996",16.6400003433228,"Voyageurs"
"51","1997",16.0516665776571,"Voyageurs"
"52","1998",17.1483325958252,"Voyageurs"
"53","1999",15.9416666030884,"Voyageurs"
"54","2000",15.9916667938232,"Voyageurs"
"55","2001",16.8283335367839,"Voyageurs"
"56","2002",17.5666669209798,"Voyageurs"
"57","2003",16.8550001780192,"Voyageurs"
"58","2004",15.4833329518636,"Voyageurs"
"59","2005",16.5850003560384,"Voyageurs"
"60","2006",16.8149995803833,"Voyageurs"
"61","2007",16.0849997202555,"Voyageurs"
"62","2008",15.6300001144409,"Voyageurs"
"63","2009",15.6500002543132,"Voyageurs"
"64","2010",16.1833327611287,"Voyageurs"
"65","2011",16.7916669845581,"Voyageurs"
"66","2012",16.3616663614909,"Voyageurs"
"67","2013",16.7466669082642,"Voyageurs"
"68","2014",15.6033331553141,"Voyageurs"
"69","1980",9.09000031153361,"Rocky"
"70","1982",8.27166700363159,"Rocky"
"71","1983",9.32166639963786,"Rocky"
"72","1984",8.01500002543131,"Rocky"
"73","1985",7.04333353042603,"Rocky"
"74","1986",7.54333337148031,"Rocky"
"75","1987",7.88333320617676,"Rocky"
"76","1988",8.84999990463257,"Rocky"
"77","1989",8.40333350499471,"Rocky"
"78","1990",8.60499986012777,"Rocky"
"79","1991",8.09833335876465,"Rocky"
"80","1992",7.73000033696492,"Rocky"
"81","1993",7.23166656494141,"Rocky"
"82","1994",8.82166655858358,"Rocky"
"83","1995",8.61666663487752,"Rocky"
"84","1996",8.24833329518636,"Rocky"
"85","1997",8.72166665395101,"Rocky"
"86","1998",9.8116668065389,"Rocky"
"87","1999",8.18333339691162,"Rocky"
"88","2000",9.71666653951009,"Rocky"
"89","2001",9.70666662851969,"Rocky"
"90","2002",9.60166676839193,"Rocky"
"91","2003",9.72333335876465,"Rocky"
"92","2004",7.63333320617676,"Rocky"
"93","2005",9.51333347956339,"Rocky"
"94","2006",8.3266666730245,"Rocky"
"95","2007",10.1050001780192,"Rocky"
"96","2008",9.28166691462199,"Rocky"
"97","2009",8.80000003178914,"Rocky"
"98","2010",9.84000015258789,"Rocky"
"99","2011",9.80166673660278,"Rocky"
"100","2012",10.0783332188924,"Rocky"
"101","2013",9.74500036239624,"Rocky"
"102","2014",9.29499975840251,"Rocky"
"103","1980",28.0949993133545,"Marjory"
"104","1982",28.3200003306071,"Marjory"
"105","1983",28.4116662343343,"Marjory"
"106","1984",27.6950003306071,"Marjory"
"107","1985",27.3566665649414,"Marjory"
"108","1986",28.0483334859212,"Marjory"
"109","1987",28.7083333333333,"Marjory"
"110","1988",28.0433330535889,"Marjory"
"111","1989",28.0983333587646,"Marjory"
"112","1990",28.2483336130778,"Marjory"
"113","1991",28.2666664123535,"Marjory"
"114","1992",28.3683344523112,"Marjory"
"115","1993",28.738333384196,"Marjory"
"116","1994",27.9600003560384,"Marjory"
"117","1995",28.7349999745687,"Marjory"
"118","1996",28.7866668701172,"Marjory"
"119","1997",28.591667175293,"Marjory"
"120","1998",28.2283331553141,"Marjory"
"121","1999",28.6299997965495,"Marjory"
"122","2000",28.4866669972738,"Marjory"
"123","2001",27.9616667429606,"Marjory"
"124","2002",28.0849997202555,"Marjory"
"125","2003",28.1966667175293,"Marjory"
"126","2004",28.0333334604899,"Marjory"
"127","2005",28.6216659545898,"Marjory"
"128","2006",28.2600002288818,"Marjory"
"129","2007",28.7350006103516,"Marjory"
"130","2008",28.328332901001,"Marjory"
"131","2009",28.6883328755697,"Marjory"
"132","2010",28.8199996948242,"Marjory"
"133","2011",29.0716667175293,"Marjory"
"134","2012",28.5799992879232,"Marjory"
"135","2013",28.5299994150798,"Marjory"
"136","2014",28.9650007883708,"Marjory"
"137","1980",29.7899996439616,"Amistad"
"138","1982",29.3250007629395,"Amistad"
"139","1983",29.2050005594889,"Amistad"
"140","1984",28.4699999491374,"Amistad"
"141","1985",28.6183338165283,"Amistad"
"142","1986",28.8500010172526,"Amistad"
"143","1987",27.9750010172526,"Amistad"
"144","1988",28.5550003051758,"Amistad"
"145","1989",29.0566673278809,"Amistad"
"146","1990",27.4199994405111,"Amistad"
"147","1991",28.1966667175293,"Amistad"
"148","1992",28.4233322143555,"Amistad"
"149","1993",29.0133336385091,"Amistad"
"150","1994",29.0833339691162,"Amistad"
"151","1995",29.6616662343343,"Amistad"
"152","1996",29.2216669718424,"Amistad"
"153","1997",29.910000483195,"Amistad"
"154","1998",29.8233337402344,"Amistad"
"155","1999",28.7966658274333,"Amistad"
"156","2000",30.1850001017253,"Amistad"
"157","2001",29.5283336639404,"Amistad"
"158","2002",28.771666208903,"Amistad"
"159","2003",27.9899997711182,"Amistad"
"160","2004",27.9933331807454,"Amistad"
"161","2005",29.7849998474121,"Amistad"
"162","2006",29.3966668446859,"Amistad"
"163","2007",27.6700000762939,"Amistad"
"164","2008",27.785000483195,"Amistad"
"165","2009",29.8199996948242,"Amistad"
"166","2010",28.7083333333333,"Amistad"
"167","2011",30.3649997711182,"Amistad"
"168","2012",29.3600006103516,"Amistad"
"169","2013",29.1666666666667,"Amistad"
"170","2014",28.5483334859212,"Amistad"
"171","1980",9.71666685740153,"Sequoia"
"172","1982",9.02166684468587,"Sequoia"
"173","1983",9.29833316802979,"Sequoia"
"174","1984",11.4249998728434,"Sequoia"
"175","1985",9.22333367665609,"Sequoia"
"176","1986",8.72833315531413,"Sequoia"
"177","1987",9.61833349863688,"Sequoia"
"178","1988",11.4166666666667,"Sequoia"
"179","1989",10.7183332443237,"Sequoia"
"180","1990",10.8249998092651,"Sequoia"
"181","1991",11.5500001907349,"Sequoia"
"182","1992",10.6633329391479,"Sequoia"
"183","1993",10.2883335749308,"Sequoia"
"184","1994",11.5500000317891,"Sequoia"
"185","1995",10.9049997329712,"Sequoia"
"186","1996",11.5350001653035,"Sequoia"
"187","1997",10.6016670862834,"Sequoia"
"188","1998",10.9166665077209,"Sequoia"
"189","1999",10.8133331934611,"Sequoia"
"190","2000",11.0533329645793,"Sequoia"
"191","2001",12.1749998728434,"Sequoia"
"192","2002",12.1333332061768,"Sequoia"
"193","2003",13.0716667175293,"Sequoia"
"194","2004",11.3766667048136,"Sequoia"
"195","2005",11.4549996058146,"Sequoia"
"196","2006",11.5583333969116,"Sequoia"
"197","2007",11.5733334223429,"Sequoia"
"198","2008",12.7016665140788,"Sequoia"
"199","2009",13.0166670481364,"Sequoia"
"200","2010",11.8816661834717,"Sequoia"
"201","2011",11.7516667048136,"Sequoia"
"202","2012",13.6700000762939,"Sequoia"
"203","2013",12.6916666030884,"Sequoia"
"204","2014",13.1766668955485,"Sequoia"
"205","1980",10.4566666285197,"Olympic"
"206","1982",10.5466664632161,"Olympic"
"207","1983",10.4266665776571,"Olympic"
"208","1984",10.4483334223429,"Olympic"
"209","1985",11.1966667175293,"Olympic"
"210","1986",10.3316666285197,"Olympic"
"211","1987",11.1783332824707,"Olympic"
"212","1988",10.3116664886475,"Olympic"
"213","1989",10.0266663233439,"Olympic"
"214","1990",12.3949998219808,"Olympic"
"215","1991",11.3999999364217,"Olympic"
"216","1992",10.9733330408732,"Olympic"
"217","1993",10.3683331807454,"Olympic"
"218","1994",11.8166669209798,"Olympic"
"219","1995",10.5149997075399,"Olympic"
"220","1996",10.9783333142598,"Olympic"
"221","1997",11.0099999109904,"Olympic"
"222","1998",12.5016663869222,"Olympic"
"223","1999",10.6150000890096,"Olympic"
"224","2000",10.0816666285197,"Olympic"
"225","2001",10.4233331680298,"Olympic"
"226","2002",11.0816669464111,"Olympic"
"227","2003",11.8449999491374,"Olympic"
"228","2004",11.2183332443237,"Olympic"
"229","2005",10.7633330027262,"Olympic"
"230","2006",11.8783334096273,"Olympic"
"231","2007",10.0800002415975,"Olympic"
"232","2008",10.8499997456868,"Olympic"
"233","2009",12.2816664377848,"Olympic"
"234","2010",11.2766666412354,"Olympic"
"235","2011",11.2250000635783,"Olympic"
"236","2012",12.6850004196167,"Olympic"
"237","2013",12.4983329772949,"Olympic"
"238","2014",13.4099995295207,"Olympic"
"239","1980",21.8816668192546,"Cuyahoga"
"240","1982",20.2033335367839,"Cuyahoga"
"241","1983",22.4450003306071,"Cuyahoga"
"242","1984",19.9333330790202,"Cuyahoga"
"243","1985",20.7783336639404,"Cuyahoga"
"244","1986",21.2650006612142,"Cuyahoga"
"245","1987",21.5383332570394,"Cuyahoga"
"246","1988",22.0616664886475,"Cuyahoga"
"247","1989",21.0983333587646,"Cuyahoga"
"248","1990",20.625,"Cuyahoga"
"249","1991",21.9750003814697,"Cuyahoga"
"250","1992",20.009999593099,"Cuyahoga"
"251","1993",21.728333791097,"Cuyahoga"
"252","1994",20.841667175293,"Cuyahoga"
"253","1995",22.0316664377848,"Cuyahoga"
"254","1996",20.6933326721191,"Cuyahoga"
"255","1997",20.068333307902,"Cuyahoga"
"256","1998",21.8250001271566,"Cuyahoga"
"257","1999",21.5433330535889,"Cuyahoga"
"258","2000",19.863333384196,"Cuyahoga"
"259","2001",20.9150002797445,"Cuyahoga"
"260","2002",22.738333384196,"Cuyahoga"
"261","2003",20.9133326212565,"Cuyahoga"
"262","2004",20.6750005086263,"Cuyahoga"
"263","2005",22.5850009918213,"Cuyahoga"
"264","2006",21.3599999745687,"Cuyahoga"
"265","2007",21.5550009409587,"Cuyahoga"
"266","2008",21.1750005086263,"Cuyahoga"
"267","2009",20.4483324686686,"Cuyahoga"
"268","2010",22.285000483195,"Cuyahoga"
"269","2011",22.1800003051758,"Cuyahoga"
"270","2012",21.6050001780192,"Cuyahoga"
"271","2013",20.8683338165283,"Cuyahoga"
"272","2014",20.2466672261556,"Cuyahoga"
